,name,lat,lng
94,Marassi resort,30.972695595919326,28.750142643988063
95,Marsa Alam,25.06999200025197,34.893817
96,Marsa Alam City,25.076169933439328,34.880069436439285
97,Marsa Matruh,31.35285669963929,27.239526200000004
98,Masyaf Baltim,31.596452221499003,31.110405462761033
99,Nekhel,29.91145389974774,33.7459874
100,New Al Fayoum City,29.21978729717314,30.89680004947907
101,New Al Nobaria City,30.655799663781945,30.078356683956244
102,New Asyut,27.269356200027993,31.297220400000004
103,New Cairo City,30.02881979973718,31.475265800000003
104,New Damietta,31.43645029963463,31.678142
105,Nueiba,29.03499999983378,34.661667
106,Port Said,31.263234999644503,32.305505
107,Qantara Sharq,30.86362589967046,32.3251656
108,Ras Gharib,28.359443999906368,33.077778
109,Ras Sudr,29.593486999777593,32.71853599999999
110,Sadat City,30.37200939970787,30.521480600000004
111,Safaga,26.763332500083813,33.9383817
112,Sallum,31.551617799628534,25.154212599999997
113,Sharm el-Sheikh,27.864442199961385,34.295447
114,Sheikh Zayed City,30.048346999735447,30.983223499999998
115,Sherook city,30.148854099726652,31.629562300000003
116,Shibin Al-Kom,30.554510599693316,31.009792300000004
117,Shubra Khit,31.028535499659238,30.713066400000002
118,Shubra al Khayma,30.128598799728408,31.242218
119,Sidi Abdel Rahman,30.965152699663467,28.743252199999997
120,Sidi Abdelrahman,30.967356557358595,28.737416481095256
121,Siwa Oasis,29.20346639981639,25.5192273
122,Sohag,26.547748000107084,31.69926299999999
123,St Catherine,28.56750769988362,33.9535607
124,Suez,29.974497999742038,32.537085999999995
125,Tanta,30.783366599676164,30.998253599999998
126,Wudyan,30.023828999737628,31.754945900000003
127,Zaafaranah,29.1119074998258,32.6592486
128,إيتاي البارود,30.886089105474316,30.664719674403965
129,الابراهيمية,30.72139080017885,31.56240591705173
130,طناح,31.03582069965875,31.553647499999997
131,قرية القطايع,30.72750545358149,31.46328008061322
132,Abd Al Aazim Hassn,24.087552399873704,32.89469137838258
133,Abd Al Hafiz Abou Qedies,24.075432848125537,32.90033824643499
134,Abnoub City,27.271256661351316,31.15876205333112
135,Abou Kebir City,30.730305261146,31.663168261088508
136,Abu Minqar,26.50622200011154,27.662007999999997
137,Abu Qir,31.320301599641162,30.0641979
138,Abu Qurqas,27.930587999953993,30.837710800000004
139,Abu Ramad,22.399075100401983,36.4085658
140,Abu Rudays,28.90361089984758,33.1875
141,Abu al Matamir,30.907934899667374,30.175638500000005
142,Abu al Shuquq,30.828610999672925,31.59944399999999
143,Aga,30.941985399665043,31.290376499999994
144,Aga City,30.940094922906123,31.290850689149117
145,Aghour Al-Kubra,30.299240999713884,31.149102199999998
146,Akhmim,26.5626630001055,31.743442999999992
147,Akhmim City,26.56756773555767,31.743942004724644
148,Al Adabiyah,29.900751499748715,32.45694089999999
149,Al Ahia',27.278866500686895,33.75734318496131
150,Al Ayyat,29.619575699775076,31.2581312
151,Al Badari,26.992220900058726,31.415164899999997
152,Al Blina City,26.235020837076938,31.999617029018967
153,Al Deir,25.333333000228556,32.580556
154,Al Fath City,27.2050888435513,31.195531860660115
155,Al Fekreya City,27.93201986869485,30.814870877958406
156,Al Ghanaym City,26.88372505376085,31.338495735631973
157,Al Hadaba,27.183355767902516,33.78935948008409
158,Al Hasanah,30.465277999700334,33.781667
159,Al Ibrahimeya City,30.715878171420602,31.56064936960026
160,Al Kajuj,24.665037400285435,32.951955899999994
161,Al Khargah City,25.44225137628262,30.550648464720048
162,Al Nogoa Al Mondama,24.106112468508204,32.924386836884345
163,Al Qanatir al Khairiya,30.196615899722545,31.133907999999998
164,Al Ridisiya Qibli,24.90818460026573,32.8846438
165,Al Saff,29.564722099780376,31.2811109
166,Al Shalal High Dam,24.074575235963948,32.91139144881777
167,Al Sharikat,27.186986055308058,31.178574540642693
168,Al Shuhada,30.59763689968998,30.8952927
169,Al Uwaynah,28.36942359990528,28.936098400000002
170,Al Walidiah Al Qeblya,27.197717494596567,31.17990825208903
171,Al Walidiah Al Wastanya,27.201418725173014,31.177216922857625
172,Al Zohor District Village,29.290285376187324,30.960566270532645
173,Al-Dabaah,31.028942999659208,28.4443762
174,Al-Gharaq,29.135768299823336,30.693038899999994
